,linkedin,www,About ,facebook,twitter,youtube,Instagram,logo,title,node1,node2,node3,node4,node5,year founded,finance,sales,hr,product,strategy,marketing,scope,geography,businesslifecycle,patents,traffic/media,reviews,investors type,number of investors
0,,,This a sample data about the company including a short description about the company so users can easily understand the business scope of the entity presented on the map. ,,,,,,Lextran,Israel ,,Tech solution ,Wastes and chemicals,Air ,,,,,,,,,,,,,,,
1,,,This a sample data about the company including a short description about the company so users can easily understand the business scope of the entity presented on the map. ,,,,,,Vortex Ecological Technologies,Israel ,,Tech solution ,Wastes and chemicals,Air ,,,,,,,,,,,,,,,
2,,http://www.agro-factory.com,,,,,,,Asia & Africa General Trading LLC,UAE  ,Abu Dhabi,Partner/buyer,Agriculture Development & Health,Air quality ,,,,,,,,,,,,,,,
3,,http://www.bs-gg.com,,,,,,,B&S World Supply,UAE  ,Abu Dhabi,Partner/buyer,Agriculture Development & Health,Air quality ,,,,,,,,,,,,,,,
4,,"http://www.alshaamfood.com, www.mrfoodindustries.com",,,,,,,"ARM Group of Companies (AlSham Food Factory, Royal Foodstuff Trading, MR Food Industries)",UAE  ,Abu Dhabi,Partner/buyer,Agriculture Development & Health,Aquaculture,,,,,,,,,,,,,,,
5,,http://hail.ae/hail-english/,,,,,,,Hail Agriculture Consultancy Company,UAE  ,Abu Dhabi,Partner/buyer,Agriculture Development & Health,Aquaculture,,,,,,,,,,,,,,,
6,,http://www.hakanfoods.com,,,,,,,Hakan Agro DMCC,UAE  ,Abu Dhabi,Partner/buyer,Agriculture Development & Health,Aquaculture,,,,,,,,,,,,,,,
7,,https://hassanigroup.com,,,,,,,Hassani Food Industries LLC,UAE  ,Abu Dhabi,Partner/buyer,Agriculture Development & Health,Aquaculture,,,,,,,,,,,,,,,
8,,https://www.hemaniherbals.com,,,,,,,Hemani General Trading,UAE  ,Abu Dhabi,Partner/buyer,Agriculture Development & Health,Aquaculture,,,,,,,,,,,,,,,
9,,https://arabianfarms.com/company/,,,,,,,Holding Arabian Farms Investments LLC,UAE  ,Abu Dhabi,Partner/buyer,Agriculture Development & Health,Aquaculture,,,,,,,,,,,,,,,
10,,https://www.arabindia.com,,,,,,,Arab & India Spices LLC,UAE  ,Dubai,Partner/buyer,Agriculture Development & Health,Aquaculture,,,,,,,,,,,,,,,
11,,http://www.frimexhq.com,,,,,,,Hayel Saeed Anam & Co.,UAE  ,Sharjah,Partner/buyer,Agriculture Development & Health,Aquaculture,,,,,,,,,,,,,,,
12,,https://www.uaeu.ac.ae/en/,,,,,,,United Arab Emirates University,UAE  ,Sharjah,Partner/buyer,Agriculture Development & Health,Aquaculture,,,,,,,,,,,,,,,
13,https://www.linkedin.com/company/40723573,https://simpliigood.com/,This a sample data about the company including a short description about the company so users can easily understand the business scope of the entity presented on the map. ,https://www.facebook.com/acfreshspirulina,,https://www.youtube.com/channel/UCFR1uAbqCsuuiJwBbdJEYdg,https://www.instagram.com/simpliigood/,,AlgaeMor,Israel ,,Tech solution ,Agriculture Development & Health,Aquaculture,2015.0,2.0,0.0,1.0,3.0,2.0,2.0,2.0,5.0,,,,,,
